,Title,Audience Score,Average Rating,User Rating
0,12 Angry Men (Twelve Angry Men) ,97,4.2,103672
1,The 39 Steps ,86,3.9,23647
2,The Adventures of Robin Hood ,89,3.7,33584
3,All About Eve ,94,4.3,44564
4,All Quiet on the Western Front ,89,3.9,17768
5,Casablanca ,95,4.1,355952
6,Frankenstein ,87,3.7,41140
7,King Kong ,86,3.7,89669
8,Laura ,91,4.1,10481
9,M ,95,4.4,35778
10,The Maltese Falcon ,91,4.1,57268
11,Metropolis ,92,4.1,62018
12,Rear Window ,95,4.2,149458
13,Rebecca ,92,4.1,39026
14,A Streetcar Named Desire ,90,4.0,54761
15,Touch of Evil ,92,4.2,30867
16,High Noon ,89,4.0,25065
17,Snow White and the Seven Dwarfs ,78,3.4,469510
18,12 Years a Slave ,90,4.3,138789
19,The 400 Blows (Les Quatre cents coups) ,94,4.3,38368
20,Alien ,94,3.9,457186
21,Apocalypse Now ,94,4.1,284606
22,Argo ,90,4.2,207373
23,Army of Shadows (L'Armée des ombres) ,94,4.4,7011
24,Arrival ,82,4.0,78740
25,Baby Driver ,89,4.3,48114
26,Battleship Potemkin ,85,4.0,18709
27,A Hard Day's Night ,89,3.9,50067
28,Bicycle Thieves (Ladri di biciclette) ,94,4.3,33723
29,Boyhood ,81,4.0,88478
30,The Bride of Frankenstein ,87,3.8,24471
31,Brooklyn ,87,4.1,45763
32,Citizen Kane ,90,4.1,157274
33,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb ,94,4.2,208215
34,Dunkirk ,82,4.1,53555
35,E.T. The Extra-Terrestrial ,72,3.5,32313030
36,Finding Nemo ,86,3.8,33355673
37,Get Out ,87,4.2,63837
38,The Godfather ,98,4.4,730433
39,"The Godfather, Part II ",97,4.3,409574
40,Gone With the Wind ,93,3.9,292794
41,The Grapes of Wrath ,88,3.9,23954
42,Gravity ,80,4.0,301261
43,Harry Potter and the Deathly Hallows - Part 2 ,89,4.3,389431
44,Hell or High Water ,88,4.1,37738
45,Inside Out ,89,4.3,133558
46,It Happened One Night ,93,4.1,33106
47,Jaws ,90,3.5,942217
48,The Last Picture Show ,90,4.1,13893
49,L.A. Confidential ,94,3.8,149772
50,La Grande illusion (Grand Illusion) ,92,4.3,11490
51,La La Land ,82,4.1,67325
52,Logan ,91,4.4,86540
53,Mad Max: Fury Road ,86,4.2,123937
54,Manchester by the Sea ,77,3.9,48189
55,Man on Wire ,87,4.1,29827
56,Modern Times ,95,4.3,39736
57,Moonlight ,80,4.0,41956
58,The Night of the Hunter ,90,4.2,24322
59,North by Northwest ,94,4.2,78793
60,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) ",87,4.0,47463
61,On the Waterfront ,95,4.2,51664
62,Open City ,92,4.2,6128
63,The Philadelphia Story ,93,4.1,46810
64,Pinocchio ,72,3.3,278682
65,Psycho ,94,3.9,238259
66,Rashômon ,93,4.3,47657
67,Repulsion ,87,4.0,18655
68,Roman Holiday ,94,4.1,62895
69,Rosemary's Baby ,87,3.8,72669
70,Selma ,86,4.1,60533
71,Seven Samurai (Shichinin no Samurai) ,97,4.5,90049
72,Singin' in the Rain ,95,4.0,137643
73,Skyfall ,86,4.1,372497
74,Spotlight ,93,4.3,68142
75,Star Trek ,91,4.1,746458
76,Star Wars: Episode VII - The Force Awakens ,89,4.3,222789
77,Sunset Boulevard ,95,4.3,52783
78,Taxi Driver ,93,4.1,258405
79,The Babadook ,72,3.7,37024
80,The Battle of Algiers (La Battaglia di Algeri) ,95,4.4,14267
81,The Big Sick ,90,4.3,23391
82,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) ,89,4.1,27163
83,The Conformist ,91,4.3,8529
84,The Dark Knight ,94,4.4,1827436
85,"The Good, the Bad and the Ugly ",97,4.0,238420
86,The Jungle Book ,86,4.1,92856
87,The Third Man ,93,4.3,53081
88,The Wizard of Oz ,89,3.7,874425
89,The Wrestler ,88,4.0,139795
90,Tokyo Story (Tôkyô monogatari) ,93,4.4,11325
91,Toy Story ,92,3.7,1107731
92,Toy Story 2 ,86,3.5,998186
93,Toy Story 3 ,89,4.3,605098
94,The Treasure of the Sierra Madre ,93,4.2,25627
95,Up ,90,3.8,1201878
96,Vertigo ,93,4.2,101454
97,The Wages of Fear ,95,4.4,8536
98,Wonder Woman ,90,4.4,112955
99,Zootopia ,92,4.4,98633
